ProtocolName: Exp_idot_source_DP
DateTime: 2022-02-25 18:02:23
SoftwareProductVersion: 1.7.9
SoftwareBuildVersion: 1.7.2021.1105


Source Plate ID: Exp_IDOT_001 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301A (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	F6     	N15       	0.0215    	0.074     	2   	0   	50 nL               	184       
DMSO                	G6     	C16       	0.017     	0.0785    	2   	0   	50 nL               	184       
DMSO                	H6     	E16       	0.017     	0.0785    	2   	0   	50 nL               	184       
DMSO                	A7     	I16       	0.044     	0.0785    	2   	0   	50 nL               	184       
DMSO                	B7     	K16       	0.044     	0.0785    	2   	0   	50 nL               	184       
DMSO                	C7     	F16       	0.0305    	0.0785    	2   	0   	50 nL               	184       
DMSO                	D7     	H16       	0.0305    	0.0785    	2   	0   	50 nL               	184       
DMSO                	E7     	L16       	0.0575    	0.0785    	2   	0   	50 nL               	184       
DMSO                	F7     	N16       	0.0575    	0.0785    	2   	0   	50 nL               	184       
DMSO                	G7     	C17       	0.017     	0.083     	2   	0   	50 nL               	184       
DMSO                	H7     	E17       	0.017     	0.083     	1   	1   	50 nL               	184       
DMSO                	A8     	G17       	0.035     	0.083     	2   	0   	50 nL               	184       
DMSO                	B8     	I17       	0.035     	0.083     	2   	0   	50 nL               	184       
DMSO                	C8     	K17       	0.035     	0.083     	2   	0   	50 nL               	184       
DMSO                	D8     	M17       	0.035     	0.083     	2   	0   	50 nL               	184       
DMSO                	E8     	D17       	0.0215    	0.083     	2   	0   	50 nL               	184       
DMSO                	F8     	F17       	0.0215    	0.083     	1   	1   	50 nL               	184       
DMSO                	G8     	H17       	0.0215    	0.083     	2   	0   	50 nL               	184       
DMSO                	H8     	J17       	0.0215    	0.083     	2   	0   	50 nL               	184       
DMSO                	A9     	L17       	0.0575    	0.083     	2   	0   	50 nL               	184       
